PING 54.250.228.196 (54.250.228.196) 56(84) bytes of data.
64 bytes from 54.250.228.196: icmp_seq=346 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=347 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=348 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=349 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=350 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=351 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=352 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=353 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=354 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=355 ttl=44 time=37.5 ms
