PING 18.228.24.236 (18.228.24.236) 56(84) bytes of data.
64 bytes from 18.228.24.236: icmp_seq=321 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=322 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=323 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=324 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=325 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=326 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=327 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=328 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=329 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=330 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=331 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=332 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=333 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=334 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=335 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=336 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=337 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=338 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=339 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=340 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=341 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=342 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=343 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=344 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=345 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=346 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=347 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=348 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=349 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=350 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=351 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=352 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=353 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=354 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=355 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=356 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=357 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=358 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=359 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=360 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=361 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=362 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=363 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=364 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=365 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=366 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=367 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=368 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=369 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=370 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=371 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=372 ttl=41 time=324 ms
